id,period,datetime,network,item,type,duration
62,1999-11,1999-10-23 10:54,Orange,sms,mobile,1
63,1999-11,1999-10-23 11:17,Orange,sms,mobile,1
64,1999-11,1999-10-23 11:25,Orange,call,mobile,24
65,1999-11,1999-10-23 17:48,Play,call,mobile,263
66,1999-11,1999-10-24 06:58,Play,data,data,34.5
67,1999-11,1999-10-24 13:35,Orange,sms,mobile,1
68,1999-11,1999-10-24 13:39,Orange,sms,mobile,1
69,1999-11,1999-10-24 13:39,Orange,sms,mobile,1
70,1999-11,1999-10-24 13:47,Orange,sms,mobile,1
71,1999-11,1999-10-24 13:48,Orange,sms,mobile,1
72,1999-11,1999-10-24 13:50,Orange,sms,mobile,1
73,1999-11,1999-10-24 13:57,Orange,sms,mobile,1
74,1999-11,1999-10-24 13:57,Orange,sms,mobile,1
75,1999-11,1999-10-24 14:20,T-Mobile,sms,mobile,1
76,1999-11,1999-10-24 14:27,Orange,sms,mobile,1
77,1999-11,1999-10-24 18:29,Orange,sms,mobile,1
78,1999-11,1999-10-24 18:33,Plus,call,mobile,387
79,1999-11,1999-10-24 18:40,Orange,sms,mobile,1
80,1999-11,1999-10-25 06:58,Plus,data,data,34.5
81,1999-11,1999-10-26 06:58,Plus,data,data,34.5
82,1999-11,1999-10-26 14:51,T-Mobile,call,mobile,4
83,1999-11,1999-10-26 21:10,Plus,call,mobile,637
84,1999-11,1999-10-26 21:22,Play,call,mobile,28
85,1999-11,1999-10-26 21:38,T-Mobile,call,mobile,62
86,1999-11,1999-10-27 01:45,Plus,call,mobile,3
87,1999-11,1999-10-27 06:58,Plus,data,data,34.5
88,1999-11,1999-10-27 11:03,T-Mobile,call,mobile,146
89,1999-11,1999-10-27 16:30,T-Mobile,call,mobile,48
90,1999-11,1999-10-27 19:20,T-Mobile,call,mobile,862
91,1999-11,1999-10-27 19:55,T-Mobile,call,mobile,25
92,1999-11,1999-10-28 06:58,Plus,data,data,34.5
93,1999-11,1999-10-28 16:39,landline,call,landline,833
94,1999-11,1999-10-28 20:44,Plus,call,mobile,206
95,1999-11,1999-10-29 06:58,Plus,data,data,34.5
96,1999-11,1999-10-29 12:56,Orange,call,mobile,442
97,1999-11,1999-10-30 06:58,Plus,data,data,34.5
98,1999-11,1999-10-30 14:31,Orange,call,mobile,463
99,1999-11,1999-10-30 19:48,Orange,call,mobile,4
100,1999-11,1999-10-30 20:02,Play,call,mobile,4
101,1999-11,1999-10-31 06:58,Plus,data,data,34.5
102,1999-11,1999-10-31 07:46,Orange,sms,mobile,1
103,1999-11,1999-10-31 08:00,Orange,sms,mobile,1
104,1999-11,1999-10-31 13:26,T-Mobile,call,mobile,5
105,1999-11,1999-10-31 13:27,Plus,call,mobile,1234
106,1999-11,1999-10-31 14:10,T-Mobile,call,mobile,43
107,1999-11,1999-10-31 18:29,T-Mobile,sms,mobile,1
108,1999-11,1999-10-31 18:29,T-Mobile,sms,mobile,1
109,1999-11,1999-10-31 18:30,Play,call,mobile,483
110,1999-11,1999-10-31 18:39,Plus,call,mobile,3
111,1999-11,1999-11-01 06:58,Play,data,data,34.5
112,1999-11,1999-11-01 15:13,Orange,call,mobile,955
113,1999-11,1999-11-01 17:54,Plus,call,mobile,4
114,1999-11,1999-11-02 06:58,Play,data,data,34.5
115,1999-11,1999-11-02 14:34,T-Mobile,call,mobile,459
116,1999-11,1999-11-02 15:44,T-Mobile,call,mobile,1023
117,1999-11,1999-11-02 19:16,T-Mobile,call,mobile,1025
118,1999-11,1999-11-02 21:42,Play,call,mobile,169
119,1999-11,1999-11-02 22:55,Play,call,mobile,8
120,1999-11,1999-11-03 06:58,Play,data,data,34.5
121,1999-11,1999-11-03 08:40,T-Mobile,sms,special,1
122,1999-11,1999-11-03 10:30,T-Mobile,call,mobile,135
123,1999-11,1999-11-03 10:37,Orange,call,mobile,7
124,1999-11,1999-11-03 10:47,Orange,call,mobile,37
125,1999-11,1999-11-03 14:04,Orange,sms,mobile,1
126,1999-11,1999-11-03 15:27,T-Mobile,call,mobile,5
127,1999-11,1999-11-03 16:07,landline,call,landline,123
128,1999-11,1999-11-03 16:10,Plus,call,mobile,4
129,1999-11,1999-11-03 17:03,Orange,call,mobile,90
130,1999-11,1999-11-03 22:36,Plus,call,mobile,3
131,1999-11,1999-11-04 06:58,Play,data,data,34.5
132,1999-11,1999-11-04 11:58,Orange,sms,mobile,1
133,1999-11,1999-11-04 11:58,Orange,sms,mobile,1
134,1999-11,1999-11-04 13:12,T-Mobile,sms,mobile,1
135,1999-11,1999-11-04 14:05,T-Mobile,sms,mobile,1
136,1999-11,1999-11-04 14:26,T-Mobile,call,voicemail,1
137,1999-11,1999-11-04 14:26,Plus,call,voicemail,98
138,1999-11,1999-11-04 16:13,T-Mobile,sms,mobile,1
139,1999-11,1999-11-04 16:19,Play,call,mobile,8
140,1999-11,1999-11-04 16:22,Play,call,mobile,9
141,1999-11,1999-11-04 16:24,Play,call,mobile,4
142,1999-11,1999-11-04 16:34,T-Mobile,sms,mobile,1
143,1999-11,1999-11-04 16:39,Play,sms,mobile,1
144,1999-11,1999-11-04 16:41,Play,sms,mobile,1
145,1999-11,1999-11-04 16:45,T-Mobile,sms,mobile,1
146,1999-11,1999-11-04 18:26,Plus,call,mobile,4
147,1999-11,1999-11-04 20:15,T-Mobile,call,mobile,11
148,1999-11,1999-11-04 20:15,Play,sms,mobile,1
149,1999-11,1999-11-04 20:15,Play,sms,mobile,1
150,1999-11,1999-11-04 20:16,Play,call,mobile,166
151,1999-11,1999-11-05 06:58,Play,data,data,34.5
152,1999-11,1999-11-05 10:59,T-Mobile,call,mobile,55
153,1999-11,1999-11-05 11:30,Orange,sms,mobile,1
154,1999-11,1999-11-05 11:43,Orange,sms,mobile,1
155,1999-11,1999-11-05 12:43,Orange,sms,mobile,1
156,1999-11,1999-11-05 19:35,Orange,call,mobile,29
157,1999-11,1999-11-06 01:02,Orange,sms,mobile,1
158,1999-11,1999-11-06 01:02,Orange,sms,mobile,1
159,1999-11,1999-11-06 06:58,Play,data,data,34.5
160,1999-11,1999-11-06 09:04,Orange,sms,mobile,1
161,1999-11,1999-11-06 09:05,Orange,sms,mobile,1
162,1999-11,1999-11-06 09:47,Orange,call,mobile,150
163,1999-11,1999-11-06 09:50,T-Mobile,call,mobile,89
164,1999-11,1999-11-06 09:52,Play,call,mobile,75
165,1999-11,1999-11-06 09:54,T-Mobile,call,mobile,5
166,1999-11,1999-11-06 11:47,Orange,call,mobile,8
167,1999-11,1999-11-06 14:52,Orange,sms,mobile,1
168,1999-11,1999-11-06 18:02,Plus,call,mobile,279
169,1999-11,1999-11-06 18:07,Orange,call,mobile,452
170,1999-11,1999-11-07 06:58,Plus,data,data,34.5
171,1999-11,1999-11-07 09:33,Orange,call,mobile,1205
172,1999-11,1999-11-07 17:51,T-Mobile,call,mobile,218
173,1999-11,1999-11-07 21:04,Orange,sms,mobile,1
174,1999-11,1999-11-07 21:10,Orange,sms,mobile,1
175,1999-11,1999-11-07 21:12,Orange,sms,mobile,1
176,1999-11,1999-11-07 21:12,Orange,sms,mobile,1
177,1999-11,1999-11-07 21:19,Orange,sms,mobile,1
178,1999-11,1999-11-07 21:25,Orange,sms,mobile,1
179,1999-11,1999-11-07 21:31,Orange,sms,mobile,1
180,1999-11,1999-11-07 21:31,Orange,sms,mobile,1
181,1999-11,1999-11-07 22:04,Orange,sms,mobile,1
182,1999-11,1999-11-08 06:58,Plus,data,data,34.5
183,1999-11,1999-11-08 16:33,T-Mobile,call,mobile,41
184,1999-11,1999-11-08 18:18,Plus,call,mobile,6
185,1999-11,1999-11-09 01:41,T-Mobile,sms,mobile,1
186,1999-11,1999-11-09 01:49,T-Mobile,sms,mobile,1
187,1999-11,1999-11-09 01:50,T-Mobile,sms,mobile,1
188,1999-11,1999-11-09 02:04,T-Mobile,sms,mobile,1
189,1999-11,1999-11-09 06:58,Orange,data,data,34.5
190,1999-11,1999-11-09 19:21,Plus,call,mobile,14
191,1999-11,1999-11-09 22:09,T-Mobile,call,mobile,3
192,1999-11,1999-11-10 06:58,Orange,data,data,34.5
193,1999-11,1999-11-10 09:29,Orange,call,mobile,178
194,1999-11,1999-11-10 11:36,T-Mobile,call,mobile,412
195,1999-11,1999-11-10 14:59,T-Mobile,call,mobile,13
196,1999-11,1999-11-10 15:15,T-Mobile,call,mobile,459
197,1999-11,1999-11-10 18:19,T-Mobile,sms,mobile,1
198,1999-11,1999-11-10 18:34,T-Mobile,sms,mobile,1
199,1999-11,1999-11-11 06:58,Play,data,data,34.5
200,1999-11,1999-11-11 09:28,Orange,call,mobile,3
201,1999-11,1999-11-11 11:32,Orange,call,mobile,3
202,1999-11,1999-11-11 11:37,T-Mobile,sms,mobile,1
203,1999-11,1999-11-11 12:39,T-Mobile,call,mobile,36
204,1999-11,1999-11-11 14:13,Play,sms,mobile,1
205,1999-11,1999-11-11 14:20,Play,sms,mobile,1
206,1999-11,1999-11-11 14:41,Play,sms,mobile,1
207,1999-11,1999-11-11 19:56,T-Mobile,sms,mobile,1
208,1999-11,1999-11-12 06:58,Orange,data,data,34.5
209,1999-11,1999-11-12 10:48,Orange,sms,mobile,1
210,1999-11,1999-11-12 10:48,T-Mobile,sms,mobile,1
211,1999-11,1999-11-12 10:48,Orange,sms,mobile,1
212,1999-11,1999-11-12 10:49,T-Mobile,sms,mobile,1
213,1999-11,1999-11-12 12:04,T-Mobile,sms,mobile,1
214,1999-11,1999-11-12 13:49,Orange,sms,mobile,1
215,1999-11,1999-11-12 16:16,Orange,sms,mobile,1
216,1999-11,1999-11-12 16:19,landline,call,landline,4
217,1999-11,1999-11-12 16:42,Orange,sms,mobile,1
218,1999-11,1999-11-12 16:42,Orange,sms,mobile,1
219,1999-11,1999-11-12 17:14,Orange,sms,mobile,1
220,1999-11,1999-11-12 17:14,Orange,sms,mobile,1
221,1999-11,1999-11-12 17:49,T-Mobile,sms,mobile,1
222,1999-11,1999-11-12 17:56,T-Mobile,call,mobile,145
223,1999-11,1999-11-12 17:59,T-Mobile,call,mobile,1001
224,1999-11,1999-11-12 19:01,Orange,call,mobile,7
225,1999-11,1999-11-12 19:18,T-Mobile,sms,mobile,1
226,1999-11,1999-11-12 19:18,T-Mobile,sms,mobile,1
227,1999-11,1999-11-12 19:20,Orange,sms,mobile,1
228,1999-12,1999-11-13 06:58,Orange,data,data,34.5
229,1999-11,1999-11-13 22:30,T-Mobile,sms,mobile,1
230,1999-11,1999-11-13 22:31,Orange,sms,mobile,1
231,1999-12,1999-11-14 06:58,Plus,data,data,34.5
232,1999-12,1999-11-14 17:24,Plus,call,voicemail,124
233,1999-12,1999-11-14 17:28,Orange,sms,mobile,1
234,1999-12,1999-11-15 06:58,Plus,data,data,34.5
235,1999-12,1999-11-16 06:58,Plus,data,data,34.5
236,1999-12,1999-11-16 14:05,Orange,call,mobile,4
237,1999-12,1999-11-17 06:58,Plus,data,data,34.5
238,1999-12,1999-11-18 06:58,Plus,data,data,34.5
239,1999-12,1999-11-18 08:22,Orange,sms,mobile,1
240,1999-12,1999-11-18 08:29,Orange,sms,mobile,1
241,1999-12,1999-11-18 08:29,Orange,sms,mobile,1
242,1999-12,1999-11-18 08:33,Orange,sms,mobile,1
243,1999-12,1999-11-18 08:34,Orange,sms,mobile,1
244,1999-12,1999-11-18 08:34,Orange,sms,mobile,1
245,1999-12,1999-11-18 08:39,Orange,sms,mobile,1
246,1999-12,1999-11-18 08:42,Orange,sms,mobile,1
247,1999-12,1999-11-18 08:45,Orange,sms,mobile,1
248,1999-12,1999-11-18 09:35,Orange,sms,mobile,1
249,1999-12,1999-11-19 06:58,Play,data,data,34.5
250,1999-12,1999-11-19 14:05,Plus,call,mobile,128
251,1999-12,1999-11-19 14:11,Play,call,mobile,249
252,1999-12,1999-11-19 18:56,T-Mobile,call,mobile,2120
253,1999-12,1999-11-19 22:48,Orange,sms,mobile,1
254,1999-12,1999-11-20 06:58,Play,data,data,34.5
255,1999-12,1999-11-20 14:57,Play,call,voicemail,71
256,1999-12,1999-11-20 14:59,T-Mobile,call,mobile,56
257,1999-12,1999-11-20 16:22,Play,sms,mobile,1
258,1999-12,1999-11-20 19:08,T-Mobile,call,mobile,9
259,1999-12,1999-11-20 21:03,T-Mobile,call,mobile,3
260,1999-12,1999-11-20 21:03,T-Mobile,call,mobile,3
261,1999-12,1999-11-21 00:17,Plus,call,mobile,17
262,1999-12,1999-11-21 01:13,Orange,sms,mobile,1
263,1999-12,1999-11-21 06:58,Play,data,data,34.5
264,1999-12,1999-11-21 10:29,Play,sms,mobile,1
265,1999-12,1999-11-21 10:29,Play,sms,mobile,1
266,1999-12,1999-11-21 10:30,Play,sms,mobile,1
267,1999-12,1999-11-21 11:29,landline,call,landline,8
268,1999-12,1999-11-21 11:31,Orange,call,mobile,982
269,1999-12,1999-11-21 11:49,landline,call,landline,11
270,1999-12,1999-11-21 11:50,T-Mobile,call,mobile,34
271,1999-12,1999-11-21 11:50,T-Mobile,call,mobile,8
272,1999-12,1999-11-21 13:31,Plus,call,mobile,600
273,1999-12,1999-11-21 18:07,Play,call,mobile,244
274,1999-12,1999-11-22 02:10,Plus,call,mobile,186
275,1999-12,1999-11-22 06:58,Play,data,data,34.5
276,1999-12,1999-11-22 12:02,Play,call,mobile,75
277,1999-12,1999-11-22 12:10,Orange,call,mobile,90
278,1999-12,1999-11-22 14:30,Orange,call,mobile,13
279,1999-12,1999-11-22 14:33,Orange,call,mobile,20
280,1999-12,1999-11-22 14:34,Orange,call,mobile,2
281,1999-12,1999-11-23 06:58,Play,data,data,34.5
282,1999-12,1999-11-23 13:24,T-Mobile,call,mobile,208
283,1999-12,1999-11-23 16:10,T-Mobile,call,mobile,107
284,1999-12,1999-11-23 17:36,T-Mobile,call,mobile,55
285,1999-12,1999-11-23 17:53,T-Mobile,call,mobile,5
286,1999-12,1999-11-23 17:53,T-Mobile,call,mobile,20
287,1999-12,1999-11-23 17:54,T-Mobile,call,mobile,2
288,1999-12,1999-11-24 06:58,T-Mobile,data,data,34.5
289,1999-12,1999-11-24 09:40,T-Mobile,sms,mobile,1
290,1999-12,1999-11-24 12:24,Play,call,mobile,4
291,1999-12,1999-11-25 06:58,T-Mobile,data,data,34.5
292,1999-12,1999-11-25 11:25,Orange,call,mobile,21
293,1999-12,1999-11-25 16:09,Play,sms,mobile,1
294,1999-12,1999-11-25 16:19,Play,sms,mobile,1
295,1999-12,1999-11-25 17:10,Play,call,mobile,114
296,1999-12,1999-11-25 18:06,Play,sms,mobile,1
297,1999-12,1999-11-25 18:18,Play,call,mobile,81
298,1999-12,1999-11-25 18:47,Play,call,voicemail,174
299,1999-12,1999-11-25 19:10,Plus,call,mobile,71
300,1999-12,1999-11-25 19:20,Plus,call,mobile,40
301,1999-12,1999-11-25 19:21,Orange,call,voicemail,29
302,1999-12,1999-11-25 19:25,Plus,call,mobile,37
303,1999-12,1999-11-25 19:26,Orange,call,voicemail,63
304,1999-12,1999-11-25 20:39,T-Mobile,sms,mobile,1
305,1999-12,1999-11-26 06:58,T-Mobile,data,data,34.5
306,1999-12,1999-11-26 07:03,Play,call,mobile,14
307,1999-12,1999-11-26 07:15,Orange,sms,mobile,1
308,1999-12,1999-11-26 07:57,Orange,sms,mobile,1
309,1999-12,1999-11-26 07:59,T-Mobile,call,mobile,4
310,1999-12,1999-11-26 08:00,Orange,sms,mobile,1
311,1999-12,1999-11-26 08:13,T-Mobile,call,mobile,10
312,1999-12,1999-11-26 08:16,T-Mobile,call,mobile,3
313,1999-12,1999-11-26 08:26,T-Mobile,call,mobile,3
314,1999-12,1999-11-26 08:27,T-Mobile,call,mobile,3
315,1999-12,1999-11-26 09:01,Play,sms,mobile,1
316,1999-12,1999-11-26 11:53,Play,sms,mobile,1
317,1999-12,1999-11-26 11:54,Play,sms,mobile,1
318,1999-12,1999-11-26 11:54,Play,sms,mobile,1
319,1999-12,1999-11-26 11:56,Play,sms,mobile,1
320,1999-12,1999-11-26 17:48,T-Mobile,call,mobile,3
321,1999-12,1999-11-27 06:58,Plus,data,data,34.5
322,1999-12,1999-11-27 16:53,T-Mobile,call,mobile,1116
323,1999-12,1999-11-27 18:38,T-Mobile,sms,mobile,1
324,1999-12,1999-11-28 06:58,Plus,data,data,34.5
325,1999-12,1999-11-28 13:05,T-Mobile,sms,mobile,1
326,1999-12,1999-11-28 13:12,T-Mobile,sms,mobile,1
327,1999-12,1999-11-28 19:03,Plus,call,mobile,143
328,1999-12,1999-11-29 06:58,Plus,data,data,34.5
329,1999-12,1999-11-29 14:44,T-Mobile,call,mobile,151
330,1999-12,1999-11-30 06:58,Plus,data,data,34.5
331,1999-12,1999-11-30 11:45,T-Mobile,sms,mobile,1
332,1999-12,1999-11-30 11:48,T-Mobile,sms,mobile,1
333,1999-12,1999-11-30 11:48,T-Mobile,sms,mobile,1
334,1999-12,1999-11-30 12:06,T-Mobile,sms,mobile,1
335,1999-12,1999-11-30 14:24,T-Mobile,sms,mobile,1
336,1999-12,1999-11-30 14:44,T-Mobile,sms,mobile,1
337,1999-12,1999-11-30 14:51,T-Mobile,call,mobile,4
338,1999-12,1999-12-01 06:58,Plus,data,data,34.5
339,1999-12,1999-12-01 12:51,T-Mobile,sms,mobile,1
340,1999-12,1999-12-01 12:59,T-Mobile,sms,mobile,1
341,1999-12,1999-12-02 06:58,Play,data,data,34.5
342,1999-12,1999-12-02 11:40,Play,call,mobile,526
343,1999-12,1999-12-03 06:58,Play,data,data,34.5
344,1999-12,1999-12-03 15:01,landline,call,landline,844
345,1999-12,1999-12-03 18:10,Plus,call,mobile,383
346,1999-12,1999-12-04 06:58,Play,data,data,34.5
347,1999-12,1999-12-04 13:52,Orange,call,mobile,6
348,1999-12,1999-12-04 15:34,T-Mobile,call,mobile,37
349,1999-12,1999-12-04 16:02,Play,call,mobile,15
350,1999-12,1999-12-04 23:41,T-Mobile,call,voicemail,71
351,1999-12,1999-12-05 06:58,Play,data,data,34.5
352,1999-12,1999-12-05 16:49,landline,call,landline,465
353,1999-12,1999-12-05 18:17,Plus,call,mobile,153
354,1999-12,1999-12-05 18:25,T-Mobile,call,mobile,826
355,1999-12,1999-12-06 06:58,Play,data,data,34.5
356,1999-12,1999-12-06 11:33,Play,call,mobile,442
357,1999-12,1999-12-06 18:25,Orange,sms,mobile,1
358,1999-12,1999-12-06 18:26,Plus,sms,mobile,1
359,1999-12,1999-12-06 18:26,Orange,sms,mobile,1
360,1999-12,1999-12-06 18:27,AT&T,sms,international,1
361,1999-12,1999-12-06 18:28,AT&T,sms,international,1
362,1999-12,1999-12-06 19:40,Play,call,mobile,191
363,1999-12,1999-12-07 06:58,Play,data,data,34.5
364,1999-12,1999-12-07 13:03,T-Mobile,call,voicemail,99
365,1999-12,1999-12-07 13:45,T-Mobile,call,mobile,428
366,1999-12,1999-12-07 14:39,T-Mobile,call,mobile,3
367,1999-12,1999-12-07 20:23,T-Mobile,call,mobile,727
368,1999-12,1999-12-07 20:36,Plus,call,mobile,33
369,1999-12,1999-12-07 20:37,T-Mobile,call,mobile,120
370,1999-12,1999-12-07 23:22,AT&T,sms,international,1
371,1999-12,1999-12-07 23:22,AT&T,sms,international,1
372,1999-12,1999-12-08 06:58,Play,data,data,34.5
373,1999-12,1999-12-08 17:38,Play,call,mobile,55
374,1999-12,1999-12-09 06:58,Play,data,data,34.5
375,1999-12,1999-12-09 18:32,Plus,call,mobile,28
376,1999-12,1999-12-10 06:58,Plus,data,data,34.5
377,1999-12,1999-12-11 06:58,Plus,data,data,34.5
378,1999-12,1999-12-12 06:58,Plus,data,data,34.5
379,1999-12,1999-12-12 11:00,Orange,call,mobile,112
380,1999-12,1999-12-12 18:14,Orange,call,mobile,52
381,2000-01,1999-12-13 06:58,Plus,data,data,34.5
382,1999-12,1999-12-13 14:56,T-Mobile,call,mobile,223
383,1999-12,1999-12-14 02:05,landline,call,landline,14
384,1999-12,1999-12-14 02:07,landline,call,landline,8
385,1999-12,1999-12-14 02:09,landline,call,landline,74
386,2000-01,1999-12-14 06:58,Plus,data,data,34.5
387,1999-12,1999-12-14 15:28,Play,call,voicemail,59
388,1999-12,1999-12-14 19:54,T-Mobile,call,mobile,25
389,2000-01,1999-12-15 06:58,Plus,data,data,34.5
390,2000-01,1999-12-15 19:56,T-Mobile,sms,mobile,1
391,2000-01,1999-12-15 19:58,T-Mobile,sms,mobile,1
392,2000-01,1999-12-15 20:03,T-Mobile,call,mobile,4
393,2000-01,1999-12-15 20:10,Orange,sms,mobile,1
394,2000-01,1999-12-15 20:10,T-Mobile,sms,mobile,1
395,2000-01,1999-12-15 23:12,T-Mobile,sms,mobile,1
396,2000-01,1999-12-16 06:58,Plus,data,data,34.5
397,2000-01,1999-12-17 06:58,Plus,data,data,34.5
398,2000-01,1999-12-17 18:08,Orange,call,mobile,1859
399,2000-01,1999-12-17 23:26,Orange,sms,mobile,1
400,2000-01,1999-12-18 06:58,Plus,data,data,34.5
401,2000-01,1999-12-18 12:36,T-Mobile,call,mobile,61
402,2000-01,1999-12-18 15:46,Play,call,mobile,268
403,2000-01,1999-12-18 15:57,Play,call,mobile,192
404,2000-01,1999-12-18 16:10,Play,call,mobile,14
405,2000-01,1999-12-18 17:54,T-Mobile,call,mobile,17
406,2000-01,1999-12-18 19:05,Plus,call,mobile,46
407,2000-01,1999-12-18 21:58,Play,call,mobile,4
408,2000-01,1999-12-18 21:59,Play,call,mobile,4
409,2000-01,1999-12-19 06:58,Plus,data,data,34.5
410,2000-01,1999-12-19 08:57,Orange,sms,mobile,1
411,2000-01,1999-12-19 10:14,T-Mobile,call,mobile,41
412,2000-01,1999-12-19 12:40,T-Mobile,call,mobile,3
413,2000-01,1999-12-19 12:41,Plus,call,mobile,217
414,2000-01,1999-12-19 12:41,T-Mobile,call,mobile,18
415,2000-01,1999-12-19 14:48,Play,call,mobile,58
416,2000-01,1999-12-19 16:49,Plus,call,mobile,48
417,2000-01,1999-12-19 16:51,Plus,call,mobile,543
418,2000-01,1999-12-19 17:00,T-Mobile,call,mobile,131
419,2000-01,1999-12-19 18:44,Orange,sms,mobile,1
420,2000-01,1999-12-20 06:58,Plus,data,data,34.5
421,2000-01,1999-12-20 14:39,Plus,sms,mobile,1
422,2000-01,1999-12-20 15:20,Plus,sms,mobile,1
423,2000-01,1999-12-20 15:53,Play,call,mobile,553
424,2000-01,1999-12-20 16:09,Plus,sms,mobile,1
425,2000-01,1999-12-21 00:05,Play,call,mobile,54
426,2000-01,1999-12-21 06:58,T-Mobile,data,data,34.5
427,2000-01,1999-12-22 06:58,T-Mobile,data,data,34.5
428,2000-01,1999-12-22 10:42,Plus,call,mobile,489
429,2000-01,1999-12-22 11:22,Orange,sms,mobile,1
430,2000-01,1999-12-22 11:22,Play,sms,mobile,1
431,2000-01,1999-12-22 13:33,Orange,call,mobile,46
432,2000-01,1999-12-22 14:09,Orange,sms,mobile,1
433,2000-01,1999-12-22 14:15,Orange,call,mobile,47
434,2000-01,1999-12-22 18:03,Orange,sms,mobile,1
435,2000-01,1999-12-22 18:03,Orange,sms,mobile,1
436,2000-01,1999-12-22 18:03,Orange,sms,mobile,1
437,2000-01,1999-12-22 19:10,Orange,sms,mobile,1
438,2000-01,1999-12-22 19:12,Plus,call,mobile,566
439,2000-01,1999-12-22 19:35,Play,sms,mobile,1
440,2000-01,1999-12-22 19:36,Play,sms,mobile,1
441,2000-01,1999-12-22 23:12,T-Mobile,call,mobile,956
442,2000-01,1999-12-23 00:57,Plus,call,mobile,55
443,2000-01,1999-12-23 06:58,T-Mobile,data,data,34.5
444,2000-01,1999-12-23 09:17,Play,call,voicemail,145
445,2000-01,1999-12-23 11:03,landline,call,landline,40
446,2000-01,1999-12-23 12:49,T-Mobile,call,mobile,449
447,2000-01,1999-12-23 15:39,Orange,sms,mobile,1
448,2000-01,1999-12-23 15:40,landline,call,landline,37
449,2000-01,1999-12-23 15:43,Orange,sms,mobile,1
450,2000-01,1999-12-23 19:45,Play,call,voicemail,39
